섬네일 url,뉴스테러 이름,뉴스레터 보낸사람 이름,뉴스레터 보낸사람 이메일,뉴스레터 소개/설명글,카테고리,해당 뉴스레터 홈페이지 링크,구독하기 링크,업로드 요일,담당자
,미라클레터,미라클레터,miraklelab@mk.co.kr,"""미라클 모닝을 하는 직장인들의 참고서""🌞

미라클레터는 대한민국 CEO들이 '최애'하는 글로벌 트렌드 뉴스레터예요. 9만명 이상이 매일 아침 미라클레터로 미라클 모닝을 하고 있습니다. 💌

매일경제의 실리콘밸리 특파원과 기자들이 글로벌 트렌드, 테크놀로지 소식, 빅테크 주식, HR·리더십, 혁신 문화 스토리 등을 인사이트 있게 담아, 주 3회 이상 새벽 시간대에 이메일로 보내드리고 있어요. ",IT/테크,,https://page.stibee.com/subscriptions/33271,,신현호
,슫스레터,삼성SDS 소셜미디어,itnews@samsungsdsletter.com,"삼성SDS 멘토 삼총사가 전하는
쉽고 재미있는 IT 트렌드!

슫스레터는 한 달에 한 번,
여러분의 메일함으로 찾아갑니다!🤗",IT/테크,,https://sdsletter.typeform.com/to/MvKvOb07,,신현호
,Naver FE News,,,"FE News는 네이버 FE 엔지니어들이 엄선한 양질의 ‘FE 및 주요한 기술 소식’들을 큐레이션 해 공유하는 것을 목표로 합니다. 이를 통해 국내 개발자들에게 지식 공유에 대한 가치 인식과 성장에 도움을 주고자 합니다. 😁
",IT/테크,https://fenews.substack.com/,https://fenews.substack.com/,,신현호
,Korean FE Article,"
Korean FE article Team","
kofearticle@substack.com","안녕하세요! 👋
Korean FE Article Team 입니다.
저희는 2022년 1월부터 시작된 활동으로 영어로 작성된 프론트엔드 아티클을 번역하고 공유하는 활동을 하고 있습니다. 매주 다양한 아티클을 번역하고 공유해 다양한 정보를 한글로 쉽게 이해하는 것을 목표로 하고 있습니다.
",IT/테크,https://kofearticle.substack.com/,https://kofearticle.substack.com/,,신현호
,우아한테크,,,,IT/테크,,https://docs.google.com/forms/d/e/1FAIpQLSe5HMoawj5-lsjcOLvF5BtxWWr7D_uZXYChkWse1bgQs58C4w/viewform,,신현호
,노마드코더,Lynn,lynn@nomadcoders.co,"최신 개발 Dev 뉴스. IT 이슈 등 개발자의 일과 성장에 도움이 되는 정보를 모아 보내드려요.
AI 소식, 사이드프로젝트, UIUX, 서비스기획 등 개발 이외의 주제도 다루고 있어요.
노마드코더의 각종 이벤트, 강의 업데이트, 챌린지 소식도 함께 전해요.
매주 금요일, 당신의 메일함으로 찾아갑니다.
강의 추천, 이벤트 정보 등의 광고성 정보가 함께 전송될 수 있습니다.",IT/테크,https://nomadcoders.co/,https://nomadcoders.us16.list-manage.com/subscribe?u=a99b43453db5050f1f26b2744&id=4313d957c9,,신현호
,피치포크(Hot links),,newsletter@pitchfork.com,,엔터테인먼트,https://pitchfork.com/,https://pitchfork.com/newsletter,금,신현호
,피치포크(10 to Hear),,,,엔터테인먼트,https://pitchfork.com/,https://pitchfork.com/newsletter,토,신현호
,피치포크(The Sunday Review),,newsletter@pitchfork.com,,엔터테인먼트,https://pitchfork.com/,https://pitchfork.com/newsletter,일,신현호
,프리즘,,priiism@maily.so,프리즘은 MBTI 내향형(I형) 인간 세 명의 취향이 담긴 뮤직 큐레이션 뉴스레터 입니다.,엔터테인먼트,https://maily.so/priiism,https://maily.so/priiism,목,신현호
,씨네웨이,,cineway.kr-gmail.com@send.stibee.com,"할리우드 미디어 뉴스 소식을 다루는 항공사 씨네웨이에 오신 걸 환영합니다!
매주 월요일 여러분들의 비행을 책임질 예정이에요.",엔터테인먼트,https://cineway.stibee.com/,https://cineway.stibee.com/,월,신현호
,영화한잔,,acupofmovie18-gmail.com@send.stibee.com,"넘쳐나는 콘텐츠 속 어떤 것을 봐야 할지 모르는 당신!
OTT, 유튜브 썸네일만 배회하다 시간 낭비하는 당신!

현대인을 위한 콘텐츠 알짜배기 티타임
콘텐츠 복합뉴스레터 <영화한잔>

👣 격주 목요일 오전 9시에 찾아갑니다!
",엔터테인먼트,https://acupofmovie.stibee.com/,https://acupofmovie.stibee.com/,목,신현호
,수플레,,,,엔터테인먼트,,,수,신현호
,STEW!,stew!,newsletter@we-eat-stew.com,,엔터테인먼트,,,,신현호
,ON-LINE letter,,,"혼자만 알기엔 지나치게 매력적인 이야기 'LINE Product Design 소식'을 유쾌하고 진지하게 전합니다. 이제 막 선보인 따끈따끈한 프로젝트의 디자인 포인트부터 많은 사람들이 궁금해하는 업계 트렌드, 취향 좋은 디자이너가 자신 있게 추천하는 아이템과 플레이스까지. 찾아 나설 시간은 없지만 디자인 영감은 얻고 싶은 분들에게 더할 나위 없이 좋은 콘텐츠를 뉴스레터에 담았어요.",엔터테인먼트,https://creative.line.me/ko/blog/131,https://page.stibee.com/subscriptions/224327,,신현호
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,미라클레터,미라클레터 ,miraklelab@mk.co.kr ,미라클레터는 대한민국 CEO들이 '최애'하는 글로벌 트렌드 뉴스레터예요. 9만명 이상이 매일 아침 미라클레터로 미라클 모닝을 하고 있습니다. ,트렌드/라이프,https://www.mk.co.kr/miraklelab/,https://page.stibee.com/subscriptions/33271,주 3회이상,강철원
,remem,remem,remem@maily.so,영감을 주는 메시지. 삶을 풍요롭게 만드는 좋은 문장들.,트렌드/라이프,https://maily.so/remem?mid=b25d244e,,기타,강동욱
,큐레터,큐레터, Q-letter@i-boss.co.k,마케터를 위한 아이디어 조각,트렌드/라이프,https://www.qletter.co.kr/,,,강동욱
,문구구절절,문구구절절,mungugugeolgeol@maily.so,"문구덕후들을 위한 문구이야기, 문구구절절 BY 문구소녀",트렌드/라이프,https://maily.so/mungugugeolgeol,,월 2회,강동욱
,오당맛,오당맛,lecor.lee@gmail.com,"브랜딩에 막막함을 느끼는 창업자를 위한, 단계별 접근을 도와주는 브랜드 비즈니스 뉴스레터 입니다. 브랜드 성공 케이스를 분석한 고품질 아티클과 실전 플레이북을 제공합니다.",트렌드/라이프, https://maily.so/lecor.amob,,,강동욱
,풀칠,풀칠,fullchill@naver.com,밥벌이 에세이 레터 <풀칠> 일과 삶 사이 우리들의 풀칠하는 이야기,트렌드/라이프,https://page.stibee.com/archives/72962,,,강동욱
,사소한 것들의 역사,사소한 것들의 역사, fig1.history@maily.so,우연히 문득 사소한 것들이 궁금해졌습니다,트렌드/라이프, https://www.fig1.kr, https://www.fig1.kr/subscribe,격주 월요일 오전,강동욱
,슈톡,슈톡, shoetalk@maily.so,스니커즈 신의 다양한 모습을 개인의 취향으로 기록합니다,트렌드/라이프,https://maily.so/shoetalk,,매주 수요일,강동욱
,오당맛,오당맛, carrote@maily.so,오! 당신이 반할 그 맛 😋 주로 서울에서 먹고 마신 것을 소개합니다.,푸드, https://maily.so/carrote,,매주 수요일,강동욱
,플리티 위키,플리티 위키,plitywiki@maily.so,영양제 속 성분 정보를 공신력 있는 논문에 근거하여 알려드립니다.,푸드, https://maily.so/plitywiki,,,강동욱
,미쉬울랭가이드,미쉬울랭가이드,mshl.guide@gmail.com,: 주말에 뭐 해먹지? 미쉬울랭과 함께 고민 끝! 맛나고 간편한 밀키트와 함께라면 우리 모두 방구석 셰프🧑‍🍳,푸드, https://mshlguide.stibee.com/,https://mshlguide.stibee.com/subscribe/,매주 화요일,강동욱
,여름의 솜사탕,여름의 솜사탕,nerf.this.summer@gmail.com,소소하지만 기분 좋은 솜사탕같은 에세이를 전해드려요. 슬리퍼 신고 동네 친구 만나는 기분으로 메일을 열어주세요🥰,푸드,https://maily.so/summer,,매주 수요일,강동욱
,,,,,,,,,
,,,,,,,,,
https://img.stibee.com/cca59a31-ca1f-48d3-a918-eada0f06fa21.png,d design travel JEJU 편집부 노트,이지나,d.travel.jeju@gmail.com,"일본 도쿄의 신도 편집장과 서울의 한국인 취재,편집 담당인 이지나(콜링 북스) 가 함께 만들어가는 이야기. 함께 듣고, 공감하며 또 서포트 해주세요!",지역/여행,https://d-travel.stibee.com/,https://d-travel.stibee.com/subscribe/,매월 1회,이찬
https://img.stibee.com/3587517c-cb44-4f6a-a5e4-53be8c5d017b.png,궁궐에서 온 편지,<궁궐에서 온 편지> 뉴스레터,gungwalk@naver.com,"📬 궁궐 산책과 우리 문화재를 좋아하는 분을 위한 뉴스레터입니다. 📍제철 궁궐의 모습 📍박물관 전시와 행사 소식 📍역사를 다룬 영화와 드라마, 책 이야기 📍문화재 관련 뉴스 📍<궁궐을 걷는 시간> 산책 안내 등 ✅ 매월 마지막주 금요일에 도착합니다 ✅ 구독 신청을 하시면 '구독 확인 메일'이 발송됩니다. 메일의 구독 확인 버튼을 눌러주셔야 신청이 완료됩니다.",지역/여행,https://page.stibee.com/subscriptions/228566,https://page.stibee.com/subscriptions/228566,매월 마지막 주 금요일,이찬
https://img.stibee.com/7789828c-1441-454f-ae02-7bbe0fa6e599.png,남해로On,남해로온,namhaeron@namhae.go.kr,"여행의 새로운 경험을 선사하는 남해의 알림. 
남해의 찐 로컬들이 남해의 매력을 직접 알립니다.  남해에서 여행으로 먹고 살아가는 에피소드 또한 여러분에게 전합니다.
궁금하지만 멀기만 한 남해! 격주 금요일 여러분의 메일함으로 보내드려요.",지역/여행,https://namhaeon.stibee.com/,https://namhaeon.stibee.com/subscribe/,격주 금요일,이찬
,SOSIC,SOSIC 소식,sosic.official-gmail.com@send.stibee.com,"공간에 얽힌 모든 소식을 전하다 “당신이 꼭 필요한 공간트렌드를 가장 먼저 전달하기 위해""",지역/여행,https://sosicweekly.com/,https://sosicweekly.com/subscribe,월,이찬
https://s3.ap-northeast-2.amazonaws.com/img.stibee.com/1461c4e4-d7e0-42e4-9986-939912e74179.png,지리산에서 온 편지,지리산이음,eum@jirisaneum.net,"지리산에서 변화를 만드는 사람들을 만나는 뉴스레터 
👩‍🌾 지리산에서 변화를 만드는 사람들들의 생생한 인터뷰
🌟 하마터면 모르고 지나갈 뻔한 지리산권 따끈한 뉴스
🌷 지리산권의 '작은변화'를 위한 시민활동과 지원사업소식
🍝 발로 뛰는 활동가들의 지리산권 찐 맛집 추천 ",지역/여행,https://jirisanletter.stibee.com/,https://jirisanletter.stibee.com/subscribe/,격주 목요일,이찬
https://img.stibee.com/3129688d-87ef-4740-bd1e-1cbaf2867ead.png,페이퍼로컬,페이퍼로컬,paper@belocal.kr,"읽다보면 궁금해지는 그 곳, 로컬! 

재미있고 다양한 로컬의 소식을 담아
구독자님의 메일함에 배송해드려요.

페이퍼로컬에서만 알려 드리는 로컬 이슈부터
담당자 희희의 취향이 가득 담긴 로컬 브랜드 등
한 눈에 보는 로컬 소식지예요.

로컬이 궁금하시다면?
매주 금요일, 메일함에서 만나요!",지역/여행,https://paperlocal.stibee.com/,https://paperlocal.stibee.com/subscribe/,금,이찬
,주말랭이,주말랭이,newsletter@funjoomal.com,"주말이 더 즐거워지는 방법 매주 금요일, 놀 거리를 메일로 받아보세요!",지역/여행,https://onemoreweekend.co.kr/,https://onemoreweekend.co.kr/,금,이찬
,,,,,,,,,
,,,,,,,,,
,HBR Korea,"
HBR Korea",editor@hbrkorea.com,"하버드비즈니스리뷰는 현재의 리더급 직장인과 미래의 리더급 직장인을 위한 전문적 가이드라인을 제시해드리고 있습니다. 다른 어느 곳에서도 볼 수 없는, 비즈니스 분야의 최고 전문가들과 커리어 코치들의 조언을 전달 드립니다.",비즈/재테크,https://www.hbrkorea.com/,https://www.hbrkorea.com/,목요일,강철원
,한경 CFO insight,"
한국경제신문",editor@hankyung.com,"경영 혁신의 최전선에서 활약하는 
CFO들을 위해 최신 자본시장 소식과 산업계 동향을 
매주 목요일 뉴스레터로 전해 드리겠습니다",비즈/재테크,https://www.hankyung.com/newsletter, https://page.stibee.com/subscriptions/83403,목요일,강철원
,보딩,BOODING,everybody@booding.co,"부.알.못 밀레니얼을 위한 구독형 부동산 뉴스레터, 부딩",비즈/재테크,https://www.booding.co/blog,https://www.booding.co/,"화요일, 금요일",강철원
,weekly biz letter,Weekly BIZ, letter@chosun.com,경영혁신의 최전선에서 활약하는 CFO들을 위한 뉴스레터 자본시장 소식과 산업계 동향을 매주 목요일마다 전해드립니다.,비즈/재테크,https://www.chosun.com/newsletter/,https://page.stibee.com/subscriptions/146096,"월,화,수,목,금",강철원
,디그 ,디그(dig),dig@mk.co.kr,"세상 돌아가는 경제 이야기,
하루 5분 <디그>로 편하게 읽어보세요.",비즈/재테크,https://teamdig.imweb.me/,https://page.stibee.com/subscriptions/159161,"월,수,금 아침",강철원
,잘쓸레터,아직도 안옴,,"<잘쓸레터>에서는 여러분의 자랑할 만한 소비, 실패한 소비 이야기 모두 편견 없이 들어보고 앞으로 어떻게 돈을 쓰면 좋을지, 어떤 소비가 나에게 가치 있을지 함께 알아볼 거예요.",비즈/재테크,https://uppity.co.kr/,https://uppity.co.kr/newsletter/jalsseul-letter/,수,강철원
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,H:730,한겨레 H:730,daily@hani.co.kr,쉴 새 없이 쏟아지는 속보 더미에서 뉴스의 흐름을 붙잡는 게 쉬운 일이 아니죠. 바쁜 당신을 대신해 꼭 필요한 뉴스를 엄선해 배달하려 합니다. 기자 경력 25년 안팎의 뛰어난 ‘뉴스 선구안’을 지닌 <한겨레> 편집위원들이 ‘비대면 배달부’가 되어 매일 아침 여러분을 찾아갑니다. ,시사/사회,https://page.stibee.com/archives/70653,https://page.stibee.com/subscriptions/70653,월~금 아침 7시 30분,강철원
,5분 칼럼,오피니언팀,letter@chosun.com,무릎을 탁 치게 만드는 세상에 대한 통찰과 해석을 지금 만나보세요.,시사/사회,https://www.chosun.com/newsletter/,https://page.stibee.com/subscriptions/91170,월~금,강철원
,점선면,경향신문 점선면,letter@khan.kr,월·수·금엔 엄선한 '한 편의 기사'로 대화하는 점선면Lite,시사/사회,https://spark-guava-17f.notion.site/db1c6982572848119a26a02ec3b17077,https://page.stibee.com/subscriptions/228606?groupIds=236936,"월,수,금",강철원
,뉴닉,NEWNEEK,whatsup@newneek.co,"세상 돌아가는 소식, 알고는 싶지만 신문 볼 새 없이 바쁜 게 우리 탓은 아니잖아요! 
월/화/수/목/금 아침마다 세상 돌아가는 소식을 메일로 받아보세요.",시사/사회,https://newneek.co/,https://newneek.co/,월~금 아침,강철원
